2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:934 | By source: {'scrape': 1, 'none': 1, 'guess': 1}
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:935 | By confidence: {'high': 1, 'none': 1, 'low': 1}
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:936 | Review entries: 2
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:937 | [8/8] Export done (0.0s)
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:920 | Wrote /private/var/folders/0f/2v7lrsh16rd64lmj4k1_zwg40000gp/T/pytest-of-wdhuser/pytest-58/test_detailed_output_structure0/domains_ch.json
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:920 | Wrote /private/var/folders/0f/2v7lrsh16rd64lmj4k1_zwg40000gp/T/pytest-of-wdhuser/pytest-58/test_detailed_output_structure0/domains_ch_detailed.json
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:920 | Wrote /private/var/folders/0f/2v7lrsh16rd64lmj4k1_zwg40000gp/T/pytest-of-wdhuser/pytest-58/test_detailed_output_structure0/domains_ch_review.json
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:927 | --- CH Summary ---
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:928 | Total: 3, with domain: 2 (66.7%)
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:934 | By source: {'scrape': 1, 'none': 1, 'guess': 1}
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:935 | By confidence: {'high': 1, 'none': 1, 'low': 1}
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:936 | Review entries: 2
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:937 | [8/8] Export done (0.0s)
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:920 | Wrote /private/var/folders/0f/2v7lrsh16rd64lmj4k1_zwg40000gp/T/pytest-of-wdhuser/pytest-58/test_review_only_contains_flag0/domains_ch.json
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:920 | Wrote /private/var/folders/0f/2v7lrsh16rd64lmj4k1_zwg40000gp/T/pytest-of-wdhuser/pytest-58/test_review_only_contains_flag0/domains_ch_detailed.json
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:920 | Wrote /private/var/folders/0f/2v7lrsh16rd64lmj4k1_zwg40000gp/T/pytest-of-wdhuser/pytest-58/test_review_only_contains_flag0/domains_ch_review.json
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:927 | --- CH Summary ---
2026-04-08 16:02:24 | INFO    | mail_municipalities.domain_resolver.pipeline:phase_export:928 | Total: 3, with domain: 2 (66.7%)
