2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1760/2110] arbaz.ch: provider=ms365 confidence=0.76 signals=12
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:172 | rule=dom_mx_spf base=0.80
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:226 | domestic MX override: rule=dom_mx_spf conf=0.82
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(brenzikofen.ch): provider=domestic confidence=0.82 rule=dom_mx_spf signals=1
2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1761/2110] brenzikofen.ch: provider=domestic confidence=0.82 signals=1
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:172 | rule=dom_mx_spf base=0.80
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:226 | domestic MX override: rule=dom_mx_spf conf=0.86
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(muensingen.ch): provider=domestic confidence=0.86 rule=dom_mx_spf signals=6
2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1762/2110] muensingen.ch: provider=domestic confidence=0.86 signals=6
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.probes:probe_smtp:266 | SMTP banner fetch failed for mx1-eu1.ppe-hosted.com: Connection lost
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:257 | rule=gateway_no_primary (gateway blocks primary signals)
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(grimisuat.ch): provider=unknown confidence=0.00 rule=gateway_no_primary signals=10
2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1763/2110] grimisuat.ch: provider=unknown confidence=0.00 signals=10
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:257 | rule=gateway_no_primary (gateway blocks primary signals)
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(saviese.ch): provider=unknown confidence=0.00 rule=gateway_no_primary signals=10
2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1764/2110] saviese.ch: provider=unknown confidence=0.00 signals=10
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:172 | rule=dom_mx_spf base=0.80
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:226 | domestic MX override: rule=dom_mx_spf conf=0.86
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(worb.ch): provider=domestic confidence=0.86 rule=dom_mx_spf signals=5
2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1765/2110] worb.ch: provider=domestic confidence=0.86 signals=5
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:257 | rule=gateway_no_primary (gateway blocks primary signals)
2026-04-10 09:55:52 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(veysonnaz.org): provider=unknown confidence=0.00 rule=gateway_no_primary signals=11
2026-04-10 09:55:52 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1766/2110] veysonnaz.org: provider=unknown confidence=0.00 signals=11
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:172 | rule=dom_mx_spf base=0.80
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:226 | domestic MX override: rule=dom_mx_spf conf=0.88
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(cransmontana.ch): provider=domestic confidence=0.88 rule=dom_mx_spf signals=6
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1767/2110] cransmontana.ch: provider=domestic confidence=0.88 signals=6
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:257 | rule=gateway_no_primary (gateway blocks primary signals)
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(sion.ch): provider=unknown confidence=0.00 rule=gateway_no_primary signals=8
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1768/2110] sion.ch: provider=unknown confidence=0.00 signals=8
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.probes:probe_smtp:266 | SMTP banner fetch failed for : [Errno -5] No address associated with hostname
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(baltschieder.ch): provider=ms365 confidence=0.98 rule=mx_spf signals=13
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1769/2110] baltschieder.ch: provider=ms365 confidence=0.98 signals=13
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:172 | rule=dom_mx_spf base=0.80
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:226 | domestic MX override: rule=dom_mx_spf conf=0.86
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(rubigen.swiss): provider=domestic confidence=0.86 rule=dom_mx_spf signals=6
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1770/2110] rubigen.swiss: provider=domestic confidence=0.86 signals=6
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(embd.ch): provider=ms365 confidence=1.00 rule=mx_spf signals=16
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1771/2110] embd.ch: provider=ms365 confidence=1.00 signals=16
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:172 | rule=dom_mx_spf base=0.80
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:226 | domestic MX override: rule=dom_mx_spf conf=0.86
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(icogne.ch): provider=domestic confidence=0.86 rule=dom_mx_spf signals=4
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(eisten.ch): provider=ms365 confidence=1.00 rule=mx_spf signals=14
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1772/2110] icogne.ch: provider=domestic confidence=0.86 signals=4
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1773/2110] eisten.ch: provider=ms365 confidence=1.00 signals=14
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:257 | rule=gateway_no_primary (gateway blocks primary signals)
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(chalais.ch): provider=unknown confidence=0.00 rule=gateway_no_primary signals=11
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1774/2110] chalais.ch: provider=unknown confidence=0.00 signals=11
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(lalden.ch): provider=ms365 confidence=0.98 rule=mx_spf signals=13
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1775/2110] lalden.ch: provider=ms365 confidence=0.98 signals=13
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(3908.ch): provider=ms365 confidence=0.98 rule=mx_spf signals=13
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1776/2110] 3908.ch: provider=ms365 confidence=0.98 signals=13
2026-04-10 09:55:53 | WARNING | mail_municipalities.provider_classification.classifier:classify:320 | classify(saas-almagell.org): no SPF record retrieved
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(saas-almagell.org): provider=unknown confidence=0.00 rule=no_country_data signals=0
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1777/2110] saas-almagell.org: provider=unknown confidence=0.00 signals=0
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(randa.ch): provider=ms365 confidence=1.00 rule=mx_spf signals=16
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1778/2110] randa.ch: provider=ms365 confidence=1.00 signals=16
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:131 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 09:55:53 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:336 | classify(saas-grund.ch): provider=ms365 confidence=1.00 rule=mx_spf signals=14
2026-04-10 09:55:53 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [1779/2110] saas-grund.ch: provider=ms365 confidence=1.00 signals=14
