2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=mx_spf base=0.90 provider=ms365
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(lasberg.ooe.gv.at): provider=ms365 confidence=1.00 rule=mx_spf signals=14
2026-04-10 12:50:26 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 954/2092] lasberg.ooe.gv.at: provider=ms365 confidence=1.00 signals=14
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(sandl.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(neumarkt-muehlkreis.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(pregarten.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=8
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(rainbach-muehlkreis.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:26 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 955/2092] sandl.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:26 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 956/2092] neumarkt-muehlkreis.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:26 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 957/2092] pregarten.ooe.gv.at: provider=ms365 confidence=0.76 signals=8
2026-04-10 12:50:26 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 958/2092] rainbach-muehlkreis.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:_rule_confidence:132 | rule=spf_gw base=0.70 provider=ms365
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:classify:335 | classify(st-leonhard.ooe.gv.at): provider=ms365 confidence=0.76 rule=spf_gw signals=6
2026-04-10 12:50:26 | INFO    | mail_municipalities.provider_classification.runner:run:180 | [ 959/2092] st-leonhard.ooe.gv.at: provider=ms365 confidence=0.76 signals=6
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:_country_confidence:174 | rule=dom_mx_spf base=0.80
2026-04-10 12:50:26 | DEBUG   | mail_municipalities.provider_classification.classifier:_aggregate:225 | domestic MX override: rule=dom_mx_spf conf=0.80
